Name,Accuracy,Predicted,Certainty,Error,Dem Score,Rep Score
weka.classifiers.bayes.NaiveBayes,0.4117647058823529,Republican,1.0,,,
weka.classifiers.bayes.NaiveBayesUpdateable,0.47058823529411764,Republican,1.0,,,
weka.classifiers.functions.LibSVM,0.4117647058823529,Republican,1.0,,,
weka.classifiers.functions.Logistic,0.35294117647058826,Republican,1.0,,,
weka.classifiers.functions.MultilayerPerceptron,0.4117647058823529,Republican,0.994,,,
weka.classifiers.functions.VotedPerceptron,0.5294117647058824,Republican,0.881,,,
weka.classifiers.lazy.IB1,0.4117647058823529,Republican,1.0,,,
weka.classifiers.lazy.IBk,0.4117647058823529,Republican,0.95,,,
weka.classifiers.lazy.KStar,0.47058823529411764,Republican,1.0,,,
weka.classifiers.lazy.LWL,0.6470588235294118,Republican,1.0,,,
weka.classifiers.meta.RacedIncrementalLogitBoost,0.35294117647058826,Democrat,0.5,,,
weka.classifiers.misc.HyperPipes,0.5882352941176471,Republican,0.509,,,
weka.classifiers.rules.DecisionTable,0.5882352941176471,Republican,0.875,,,
weka.classifiers.rules.NNge,0.5882352941176471,Republican,1.0,,,
weka.classifiers.rules.OneR,0.5294117647058824,Democrat,1.0,,,
weka.classifiers.rules.PART,0.5294117647058824,Republican,1.0,,,
weka.classifiers.rules.Ridor,0.7058823529411765,Republican,1.0,,,
weka.classifiers.rules.ZeroR,0.35294117647058826,Democrat,0.5,,,
weka.classifiers.trees.ADTree,0.7058823529411765,Republican,0.957,,,
weka.classifiers.trees.DecisionStump,0.6470588235294118,Republican,1.0,,,
weka.classifiers.trees.J48,0.5882352941176471,Republican,1.0,,,
weka.classifiers.trees.NBTree,0.47058823529411764,Republican,0.985,,,
