Name,Accuracy,Predicted,Certainty,Error,Dem Score,Rep Score
weka.classifiers.bayes.NaiveBayes,0.7,Republican,1.0,,,
weka.classifiers.bayes.NaiveBayesUpdateable,0.7,Republican,1.0,,,
weka.classifiers.functions.LibSVM,0.5,Republican,1.0,,,
weka.classifiers.functions.Logistic,0.7,Republican,1.0,,,
weka.classifiers.functions.MultilayerPerceptron,0.6,Republican,0.992,,,
weka.classifiers.functions.SMO,0.6,Republican,1.0,,,
weka.classifiers.functions.VotedPerceptron,0.4,Republican,0.953,,,
weka.classifiers.lazy.IB1,0.6,Republican,1.0,,,
weka.classifiers.lazy.IBk,0.6,Republican,0.923,,,
weka.classifiers.lazy.KStar,0.6,Democrat,0.5,,,
weka.classifiers.lazy.LWL,0.7,Republican,1.0,,,
weka.classifiers.meta.RacedIncrementalLogitBoost,0.2,Republican,0.538,,,
weka.classifiers.misc.HyperPipes,0.5,Republican,0.562,,,
weka.classifiers.rules.DecisionTable,0.4,Republican,0.857,,,
weka.classifiers.rules.NNge,0.6,Republican,1.0,,,
weka.classifiers.rules.OneR,0.3,Republican,1.0,,,
weka.classifiers.rules.PART,0.7,Republican,1.0,,,
weka.classifiers.rules.Ridor,0.5,Republican,1.0,,,
weka.classifiers.rules.ZeroR,0.2,Republican,0.538,,,
weka.classifiers.trees.ADTree,0.5,Republican,0.964,,,
weka.classifiers.trees.DecisionStump,0.6,Republican,1.0,,,
weka.classifiers.trees.J48,0.7,Republican,1.0,,,
weka.classifiers.trees.NBTree,0.8,Republican,1.0,,,
weka.classifiers.trees.RandomForest,0.3,Republican,0.839,,,
